,actual,fitted,resid
2014-01,1.3780022402984926,0.6329155681418943,0.7450866721565983
2014-02,-1.4467961244029048,-0.1948880778028634,-1.2519080466000414
2014-03,-3.0705879346229814,-0.3027098297792806,-2.767878104843701
2014-04,0.7402820249192921,0.1300632336357767,0.6102187912835153
2014-05,-2.0639141823748375,-0.35378300883907077,-1.7101311735357667
2014-06,1.8169865454000345,-0.4496213106045228,2.2666078560045575
2014-07,0.6191518973377441,0.09601181504698386,0.5231400822907603
2014-08,-0.07433409386266021,0.00755951374221954,-0.08189360760487975
2014-09,2.0324157432034085,0.8931999800379609,1.1392157631654476
2014-10,-0.6335046567563118,0.20776050102984214,-0.841265157786154
2014-11,1.0797406708233481,0.5108162545801829,0.5689244162431653
2014-12,1.613131636042553,0.8086397417415312,0.8044918943010217
2015-01,-1.873328609151237,0.7689887501147171,-2.642317359265954
2015-02,-0.04445612052119685,-0.12053732503406187,0.07608120451286501
2015-03,1.0495301115361677,0.5147270046266612,0.5348031069095065
2015-04,1.4692132132335445,-0.622128456622031,2.0913416698555753
2015-05,0.6326275052877861,0.9815358726863859,-0.34890836739859976
2015-06,-0.27252141378877326,0.2571242687008912,-0.5296456824896645
2015-07,0.7589198119585028,0.903775106481726,-0.1448552945232232
2015-08,3.592980802571155,1.11701045236342,2.475970350207735
2015-09,-1.3515509829312045,0.620824956424944,-1.9723759393561484
2015-10,-0.49673404648915565,-0.4032810752119335,-0.09345297127722213
2015-11,2.1261672961049527,1.1067710461494558,1.019396249955497
2015-12,-0.7736755320552291,0.7248824443657542,-1.4985579764209833
2016-01,2.4470746877288008,1.0811647613651907,1.36590992636361
2016-02,0.9213610190920818,0.12882291160195336,0.7925381074901284
2016-03,-3.2267451244199385,-1.2887588203942035,-1.937986304025735
2016-04,0.12445552322049025,-0.2689647974183751,0.39342032063886534
2016-05,1.3923422774658967,1.403716714904781,-0.011374437438884222
2016-06,0.3932193366555481,0.25966671977999745,0.13355261687555064
2016-07,-0.7879909938107943,-0.09484148271846096,-0.6931495110923334
2016-08,-0.04673082161827935,0.3524158912535831,-0.39914671287186243
2016-09,-0.5220904112213098,-0.06124689225865475,-0.4608435189626551
2016-10,0.24543900075908454,0.9712180030033907,-0.7257790022443061
2016-11,2.3823438882580206,1.982909519896737,0.39943436836128354
2016-12,-0.6803450989934845,0.8869240072410214,-1.5672691062345059
2017-01,-0.08837175624831772,-0.244715963129353,0.15634420688103529
2017-02,-1.7465421105713475,-0.015723613221672525,-1.730818497349675
